oikogeneia;ekpaideusi;filo;eisodima;exoda
3;11;1;23702;6741
4;13;0;33252;5559
4;13;1;30042;6512
4;12;0;9607;5284
4;12;1;52064;8011
2;15;1;69711;11208
5;9;1;51260;7875
3;10;1;24609;7059
5;13;1;36711;8202
2;16;0;72421;11298
2;13;1;34976;6451
3;11;1;50414;9077
6;9;0;39172;6288
4;11;0;34467;6235
4;10;0;28065;8149
4;15;1;41108;8186
3;22;1;100232;14436
3;16;1;71035;12620
6;13;0;34358;7084
4;11;1;36947;5987
4;12;0;43773;10557
4;12;1;45044;8688
4;14;1;44141;9790
4;11;1;27912;7487
3;18;0;67211;8653
3;14;0;32328;7141
5;11;0;36995;6714
6;14;1;37351;7011
3;10;1;38074;8610
4;13;1;42819;10308
5;13;1;55990;7718
7;15;0;54149;8668
4;9;0;32114;8926
3;20;0;101543;14351
4;8;1;28017;7985
4;9;0;41471;6218
4;9;1;35907;5825
4;14;0;40204;5179
4;12;0;29435;5512
4;14;1;41698;9476
2;12;1;72575;10002
3;14;1;45876;8674
3;11;1;35800;6350
4;12;1;49326;7039
2;18;1;75692;10657
3;13;0;34448;6589
3;13;1;59804;7927
5;9;1;40120;6066
5;13;0;21818;6132
3;10;1;51428;8873
